omg,produktnamn,correctRow,utd13,utd12,utd11,utd10
200921,Stryktipset,XX1X212112111,9187,124,15,0
200920,Stryktipset,1X1X211211111,7761,89,10,0
200919,Stryktipset,11XX121221X11,5820,165,18,0
200918,Stryktipset,11221X2X11X22,11021,388,43,16
200917,Stryktipset,2X21211X2X1X1,229113,1790,122,31
200916,Stryktipset,2XX1111211111,9599,125,16,0
200915,Stryktipset,111X2121X211X,5021,164,19,0
200914,Stryktipset,X11X221XXX2X1,29860,823,81,27
200913,Stryktipset,X2X2122X2X121,16147,405,39,13
200912,Stryktipset,1X111X1XXXX22,508738,21716,1281,269
200911,Stryktipset,112XX22X2111X,200670,3794,288,70
200910,Stryktipset,X1121XX21X221,28712,774,74,24
200909,Stryktipset,1X1221111X2X2,1166396,21286,1690,426
200908,Stryktipset,X1XX1X11X2X21,2284625,27140,1779,404
200907,Stryktipset,XXX21111111XX,44098,826,76,24
200906,Stryktipset,X2112XX121XXX,495378,12782,835,181
200905,Stryktipset,XX11XXXX121XX,1100533,19951,1484,335
200904,Stryktipset,1112X2X221111,4297,112,12,0
200903,Stryktipset,211121X122122,41812,687,68,23
200902,Stryktipset,11XXX12X221X2,342467,7937,482,108
200901,Stryktipset,X11XX2211X211,56955,1079,72,20
200852,Stryktipset,X1X21111XX21X,7000000,9807,682,175
200851,Stryktipset,1112212XXX112,41594,1056,82,23
200850,Stryktipset,X12X1X1X21XX1,121196,2687,199,52
200849,Stryktipset,2121X1X221X2X,36535,576,60,21
200848,Stryktipset,XXX211XXX121X,10000000,11331,832,191
200847,Stryktipset,XX12X12111221,4000000,23166,1642,378
200846,Stryktipset,2211XX22X1222,2149574,33010,1851,403
200845,Stryktipset,2222XX1122X11,63593,2611,239,67
200844,Stryktipset,11X21XX121X21,173895,3867,279,68
200843,Stryktipset,2X2XX21221122,29962,686,65,22
200842,Stryktipset,21XXX1X11X121,248711,1908,151,42
200841,Stryktipset,X111XXXX11111,1044,42,0,0
200840,Stryktipset,XX2X122112111,412314,5643,383,93
200839,Stryktipset,X1212222XX212,171597,3177,199,48
200838,Stryktipset,21X1211X1X2XX,980374,9424,442,85
200837,Stryktipset,2212211X1X2X1,111479,2251,175,44
200836,Stryktipset,XXX111XXX222X,602581,11158,1017,204
200835,Stryktipset,1X2211X1X11X1,131021,2698,236,67
200834,Stryktipset,XX11122X2221X,1729133,40322,2457,557
200833,Stryktipset,X121112X11211,73799,1508,129,38
200832,Stryktipset,X2X2211X1211X,92831,2043,195,50
200831,Stryktipset,111X11X12221X,47098,872,71,21
200830,Stryktipset,2X2121X112X12,119005,2227,183,49
200829,Stryktipset,1X11112XX1121,92877,1803,146,38
200828,Stryktipset,222X11X2XX221,1269127,16307,1219,295
200827,Stryktipset,XXX2XX22121X1,4070652,5539,348,87
200826,Stryktipset,111211111X121,899,37,0,0
200825,Stryktipset,XXX2211211221,64445,783,75,24
200824,Stryktipset,221121XX222X1,3066473,11884,934,237
200823,Stryktipset,2112111222111,4030,109,11,0
200822,Stryktipset,1112X11X21X1X,62474,1798,148,40
200821,Stryktipset,XX2121X11XX21,5000000,28149,1535,350
200820,Stryktipset,1X12212121121,118147,2993,221,55
200819,Stryktipset,1122X1X211222,60554,329,28,10
200818,Stryktipset,112111121121X,17176,288,25,0
200817,Stryktipset,1X21XXX11X2X1,5000000,12470,856,214
200816,Stryktipset,X221X12X22211,67237,1553,138,40
200815,Stryktipset,1X1222XX21X2X,317544,4893,361,90
200814,Stryktipset,X1X2211211X11,112757,2167,170,45
200813,Stryktipset,12X1X11X11X1X,17950,490,49,16
200812,Stryktipset,121X11121X2XX,117017,1873,135,36
200811,Stryktipset,X211211X2X111,71721,1388,101,27
200810,Stryktipset,1X1X1X1X21X12,461019,6076,483,126
200809,Stryktipset,X1X22222X222X,10000000,37250,2088,433
200808,Stryktipset,211112X1211X1,13683,336,32,11
200807,Stryktipset,11122XX111221,73772,731,43,13
200806,Stryktipset,X221112211X12,74076,1371,115,32
200805,Stryktipset,XXX1X21X21121,1709317,16022,1336,342
200804,Stryktipset,X112221211211,4281,56,0,0
200803,Stryktipset,22XX121XX21X1,3236,99,12,0
200802,Stryktipset,1X121X1112X12,34713,686,58,17
200801,Stryktipset,2222X2XX12111,5000000,38313,2261,430
200752,Stryktipset,2X121112X2XXX,766022,13650,862,170
200751,Stryktipset,X1X1211111X12,14656,380,38,13
200750,Stryktipset,2X212X21XX221,598786,18169,1705,382
200749,Stryktipset,11111X1X12111,46600,872,68,19
200748,Stryktipset,21XX1X12X2122,483606,13593,947,199
200747,Stryktipset,212111212X2X2,208765,2437,163,36
200746,Stryktipset,11122111111X1,46142,959,79,23
200745,Stryktipset,2111X112112X1,33903,709,57,16
200744,Stryktipset,X111X2221X22X,220308,5154,345,84
200743,Stryktipset,111X1X121X2X2,28033,664,62,20
200742,Stryktipset,2121X122X21X1,19552,489,44,14
200741,Stryktipset,222X111X1X11X,54763,467,42,14
200740,Stryktipset,211122X111111,848,32,0,0
200739,Stryktipset,1X2XX1222XXX2,75403,1408,109,30
200738,Stryktipset,X2112XXX1X111,257364,3858,231,54
200737,Stryktipset,1X1X11XXX2X11,427143,8675,604,140
200736,Stryktipset,XX1XXX21X2111,37292,804,68,21
200735,Stryktipset,XX11112X11112,104198,2010,161,40
200734,Stryktipset,X12X11112X1XX,10524,325,36,14
200733,Stryktipset,11122X111X111,14174,390,39,14
200732,Stryktipset,222X1222121X2,323562,10186,771,188
200731,Stryktipset,X1XX2X1222122,213454,4501,394,106
200730,Stryktipset,X2111121X111X,155321,2699,208,55
200729,Stryktipset,12221111X1112,197928,6321,537,146
200728,Stryktipset,X112221XX11X1,193319,4347,307,72
200727,Stryktipset,1221X121X1X2X,161530,3340,258,70
200726,Stryktipset,21112121XX11X,21882,528,50,16
200725,Stryktipset,2X12X211222X2,1433839,29122,2003,428
200724,Stryktipset,11XX112XXXXXX,155784,3632,272,77
200723,Stryktipset,X2X1122X11222,619258,8432,536,129
200722,Stryktipset,XX2222111X222,15683,311,26,0
200721,Stryktipset,211112XX21X11,140055,3202,209,45
200720,Stryktipset,XX212X1211121,150223,3860,329,86
200719,Stryktipset,211XXXX21X21X,402630,9602,666,149
200718,Stryktipset,21XX111221211,356651,9693,731,177
200717,Stryktipset,1122112121211,22196,553,52,17
200716,Stryktipset,12XX1XX111111,380101,5653,335,71
200715,Stryktipset,121X21111X2X1,48541,805,68,21
200714,Stryktipset,X221122221212,1975466,13338,1000,232
200713,Stryktipset,111X122122222,14294,157,16,0
200712,Stryktipset,1212222122X1X,10089,184,17,0
200711,Stryktipset,1212XX1211XX1,60577,1446,131,36
200710,Stryktipset,X1X21X1121X11,270623,6610,476,118
200709,Stryktipset,21XX2XXX122X2,128427,2802,252,70
200708,Stryktipset,1112X11XXX111,27734,484,40,12
200707,Stryktipset,X111211X11212,90316,1474,127,34
200706,Stryktipset,1111112X1222X,216104,5248,445,110
200705,Stryktipset,11122X21X222X,21284,543,53,18
200704,Stryktipset,122XX2111122X,22118,387,35,12
200703,Stryktipset,1X21X21X12122,162167,2637,174,42
200702,Stryktipset,X2211XXX22XX1,314309,4325,301,77
200701,Stryktipset,2XX2XX111XXX1,274623,3484,277,70
200652,Stryktipset,211X11121X112,291425,3664,292,75
200651,Stryktipset,211211122X2XX,3637,112,14,0
200650,Stryktipset,X2122X1111221,66332,1320,104,29
200649,Stryktipset,121X11X1X1212,410079,2896,190,46
200648,Stryktipset,X121121X1X211,1917,68,10,0
200647,Stryktipset,1X121212X2X11,514723,3745,279,70
200646,Stryktipset,X111121222X11,9172,162,16,0
200645,Stryktipset,2211XX11222X2,2390493,8551,578,134
200644,Stryktipset,1121111111211,8953,247,29,13
200643,Stryktipset,2X211X2X122X1,247673,8663,662,152
200642,Stryktipset,XXX112X11X112,42499,995,86,26
200641,Stryktipset,X1XXX11222111,450652,13641,1043,247
200640,Stryktipset,1X1X1X1121X22,1144769,20303,1512,382
200639,Stryktipset,1X2XXX1212X11,296050,6318,393,87
200638,Stryktipset,21112X211X121,25045,734,74,24
200637,Stryktipset,2XXX2XX12XX21,2125859,74361,5210,1300
200636,Stryktipset,XX11121X1211X,56114,1607,133,36
200635,Stryktipset,212212X22X2X1,80786,1252,85,23
200634,Stryktipset,22111XX1112X1,69177,1801,142,38
200633,Stryktipset,X2X11111122XX,467629,8178,910,199
200632,Stryktipset,X1122X11X21XX,1253922,7467,468,108
200631,Stryktipset,11111XX2111X1,3388,117,15,0
200630,Stryktipset,2X2X111111112,144636,1779,146,39
200629,Stryktipset,X11X2XXX12111,10000000,14226,906,201
200628,Stryktipset,1X2121XXX1112,106120,1996,121,31
200627,Stryktipset,X11122111X122,7956,280,31,12
200626,Stryktipset,121222X121X12,232320,6501,393,94
200625,Stryktipset,122121221X122,677285,9372,711,235
200624,Stryktipset,2XX1X1X1X2221,285777,9886,630,129
200623,Stryktipset,X12121X211XX2,113961,2507,214,57
200622,Stryktipset,2XX1221121211,24939,551,49,15
200621,Stryktipset,11XX11X11111X,44931,713,64,19
200620,Stryktipset,122121X1X122X,96504,2748,223,58
200619,Stryktipset,X1X21X2211X11,22547,244,26,10
200618,Stryktipset,11211111X11X1,3833,113,13,0
200617,Stryktipset,1X222211X1211,88603,2328,179,49
200616,Stryktipset,2X11XX21X1121,38547,808,73,22
200615,Stryktipset,2111112X122XX,28298,591,54,18
200614,Stryktipset,XX221XX121211,86116,2252,180,48
200613,Stryktipset,2112X1X21111X,353722,4616,334,86
200612,Stryktipset,X122X1X2121XX,10000000,24611,1872,409
200611,Stryktipset,211212X1XX111,29736,697,61,18
200610,Stryktipset,11121X1X1X1X1,17054,419,42,15
200609,Stryktipset,2X1112X211X1X,25341,275,28,10
200608,Stryktipset,11X1111212111,15009,98,10,0
200607,Stryktipset,X12122XX11112,912,38,0,0
200606,Stryktipset,1X1212X1XX1X1,330722,2403,162,41
200605,Stryktipset,21X1112121X1X,4544,196,22,0
200604,Stryktipset,X111XX111X211,50488,1122,105,32
200603,Stryktipset,2X122122X1221,524639,17204,1301,273
200602,Stryktipset,111221XX121X1,247145,2454,170,43
200601,Stryktipset,22212XX2X1112,10007,235,24,0
200552,Stryktipset,112X21X122X1X,32855,862,77,25
200551,Stryktipset,111XX21221X12,100941,2294,194,52
200550,Stryktipset,2121112112112,22478,660,67,22
200549,Stryktipset,111X1112XXX21,551784,6433,397,93
200548,Stryktipset,1112XX111XX12,47389,894,70,22
200547,Stryktipset,2121221X21X2X,17255,462,46,16
200546,Stryktipset,12X121112121X,15120,371,37,13
200545,Stryktipset,2112X2X12X1XX,381145,3466,278,72
200544,Stryktipset,11111222X21X1,4050,142,18,0
200543,Stryktipset,112221XX112X1,172560,4366,358,96
200542,Stryktipset,X112222X11211,83178,1724,148,42
200541,Stryktipset,11112112XX122,321265,2303,161,39
200540,Stryktipset,112X211212221,4146,80,0,0
200539,Stryktipset,22X1X1X2X1X12,171982,2837,234,67
200538,Stryktipset,X1221212X22X2,10000000,24882,1418,269
200537,Stryktipset,22XXX21X21X12,259154,6694,519,128
200536,Stryktipset,X12X221XXX121,283276,5180,359,86
200535,Stryktipset,12X2X12X11111,28433,737,64,20
200534,Stryktipset,2121112X1X121,29101,279,30,11
200533,Stryktipset,1X1111111111X,989,38,0,0
200532,Stryktipset,1XX1X222X12X1,113483,2786,261,74
200531,Stryktipset,221121X11XX11,652042,7971,623,174
200530,Stryktipset,X2111X11XX1X2,329101,4656,321,77
200529,Stryktipset,2XXX2121X11X1,123121,1224,87,24
200528,Stryktipset,12111XXXX11X1,19457,381,35,12
200527,Stryktipset,X11222121121X,13198,355,37,13
200526,Stryktipset,2222111222X12,64336,1537,138,39
200525,Stryktipset,2212111X1X21X,250126,5706,444,110
200524,Stryktipset,211X1X112X222,40524,1028,79,21
200523,Stryktipset,2X1111X221211,331602,3003,245,67
200522,Stryktipset,12X111X2X1XX2,1431,51,0,0
200521,Stryktipset,111X1211XX112,399141,4321,443,136
200520,Stryktipset,X2X11212XX22X,10000000,27266,1733,335
200519,Stryktipset,X1211XX1X1X11,416407,4757,361,88
200518,Stryktipset,1X1221X122111,4025,92,10,0
200517,Stryktipset,1X1X1111222X2,375000,2805,241,66
200516,Stryktipset,1X1X1XX11XXX1,299620,7955,630,145
200515,Stryktipset,X22XX21X1XXX1,1760696,6749,442,110
200514,Stryktipset,X211112111121,7255,187,17,0
200513,Stryktipset,X11X22221XXX1,905195,6595,421,87
200512,Stryktipset,211X211211X22,1391,23,0,0
200511,Stryktipset,11121X1XXX211,3077,82,10,0
200510,Stryktipset,X112X11X111X2,19770,523,47,16
200509,Stryktipset,X11X112X12221,414325,10720,757,180
200508,Stryktipset,21121X1X1X1XX,2597810,16690,1057,245
200507,Stryktipset,11X2X112212X2,810355,11958,993,247
200506,Stryktipset,11212112X21X1,37157,804,72,21
200505,Stryktipset,11X11122X21X1,85123,355,31,11
200504,Stryktipset,1X111X11X211X,1156,42,0,0
200503,Stryktipset,112X12XX12122,662758,6785,490,122
200502,Stryktipset,21121112X121X,51699,932,72,20
200501,Stryktipset,122XX11211121,342589,3361,224,53
200453,Stryktipset,2111XX122111X,126169,1218,111,34
200452,Stryktipset,11211X2X12122,34623,211,21,0
200451,Stryktipset,1X12111121X12,6493,183,21,0
200450,Stryktipset,2X1X2X2221X11,333368,12558,648,138
200449,Stryktipset,111X122X12122,81078,1744,150,45
200448,Stryktipset,222XX1X12X111,267310,2392,160,42
200447,Stryktipset,XX11122X112X2,600829,17595,1697,424
200446,Stryktipset,212X1211X2221,212913,2596,166,42
200445,Stryktipset,212XXX21212X1,2353552,42339,1888,356
200444,Stryktipset,X211X2X11X12X,844161,12228,1082,269
200443,Stryktipset,121111X11X111,4155,116,13,0
200442,Stryktipset,112112X22X1XX,123353,2505,187,50
200441,Stryktipset,112X211XX12XX,184478,2738,192,49
200440,Stryktipset,121XXX121X1XX,767459,8428,641,154
200439,Stryktipset,22X1111XX2X12,192743,2833,153,42
200438,Stryktipset,XX21X1XX2XX22,5036137,15275,1049,241
200437,Stryktipset,21X1211X11211,5524,144,17,0
200436,Stryktipset,2X1X2X1X2X21X,1634966,9395,689,158
200435,Stryktipset,12111111X12X2,3617,47,0,0
200434,Stryktipset,22121111X22X2,178118,2789,191,46
200433,Stryktipset,121XX1XXXX111,90315,1798,145,39
200432,Stryktipset,1X2X112X11112,123586,2982,259,71
200431,Stryktipset,21X2X1122XXX1,335902,2782,185,46
200430,Stryktipset,X11212X221111,83120,1247,111,34
200429,Stryktipset,1X2XX221X2121,90445,1641,136,41
200428,Stryktipset,11XXXX111111X,114206,3189,251,66
200427,Stryktipset,12122222222X2,256000,4309,319,78
200426,Stryktipset,12X2X2122X112,898860,4096,278,70
200425,Stryktipset,X2212222112XX,10000000,84587,3354,676
200424,Stryktipset,21X1121X21222,178458,5078,363,80
200423,Stryktipset,1XXX211XX1112,737298,5245,403,96
200422,Stryktipset,211X11X121221,156889,3406,267,69
200421,Stryktipset,1211212111X12,43484,1210,116,36
200420,Stryktipset,X2112X11121XX,21647,510,47,16
200419,Stryktipset,2X2XX1211X121,117103,2963,202,49
200418,Stryktipset,111X1X1X11112,213676,2551,220,62
200417,Stryktipset,21222X2222221,10000000,19655,1451,331
200416,Stryktipset,XXX12111X211X,307380,3464,230,57
200415,Stryktipset,X2XX22X1221X2,2298357,45222,2901,655
200414,Stryktipset,21X12222121X2,645755,7392,393,77
200413,Stryktipset,1121XX21XX122,285575,2657,202,53
200412,Stryktipset,1111112XX2121,8901,226,24,0
200411,Stryktipset,12111211X2211,423806,2998,215,54
200410,Stryktipset,1212XXX1211XX,10000000,29288,1809,378
200409,Stryktipset,11X21XX111121,1596,56,0,0
200408,Stryktipset,X1111X221X112,208544,4505,379,102
200407,Stryktipset,XX112111X2X11,18564,482,46,15
200406,Stryktipset,X22XX11122122,9609,254,26,10
200405,Stryktipset,2X1X22X11XX12,558863,8753,680,161
200404,Stryktipset,11211X2211222,173858,3310,264,68
200403,Stryktipset,12111XXXX2122,276112,5873,433,108
200402,Stryktipset,X11111212X2X1,74796,1598,120,33
200401,Stryktipset,11X11X112X1X2,345934,5667,426,109
200352,Stryktipset,11212X21X1222,66408,1183,91,26
200351,Stryktipset,12XX2212X22X2,1370810,21850,1499,331
200350,Stryktipset,121X2211X122X,675447,14664,1241,299
200349,Stryktipset,1XX12X11XX1X2,123344,2710,230,63
200348,Stryktipset,X2121121X1211,100032,2041,167,45
200347,Stryktipset,X221XX121X1XX,91539,1951,165,46
200346,Stryktipset,122112211XX11,505065,14324,1125,309
200345,Stryktipset,X11X12211X1XX,109685,2617,217,60
200344,Stryktipset,X1222X21XX121,100998,1847,138,36
200343,Stryktipset,22111X1211XX2,285753,2824,159,35
200342,Stryktipset,X11X121111X11,271370,2739,224,60
200341,Stryktipset,22X21112X1121,11292,220,19,0
200340,Stryktipset,1111211X22111,21055,623,61,20
200339,Stryktipset,2112X11XXX121,122306,873,71,21
200338,Stryktipset,2X1221XX21X11,10000000,23673,1340,312
200337,Stryktipset,X122X11112112,47396,271,22,0
200336,Stryktipset,121112XX2112X,1462,49,0,0
200335,Stryktipset,X2221XXX21212,1138313,22052,1505,297
200334,Stryktipset,1X12X1X21X121,79112,1283,117,35
200333,Stryktipset,11X11X21112XX,25114,601,56,18
200332,Stryktipset,11X21X2111211,127132,1924,184,57
200331,Stryktipset,2221122121122,88010,1770,144,42
200330,Stryktipset,21X21221XX122,1241085,18298,1739,390
200329,Stryktipset,12XX2X2212212,2405199,12639,665,134
200328,Stryktipset,XX212111XX211,1225743,12349,1030,246
200327,Stryktipset,2121X111X12X1,36698,516,53,18
200326,Stryktipset,1211X222XX122,16429,311,29,11
200325,Stryktipset,21XX11X22221X,2958162,13155,826,178
200324,Stryktipset,2X1X22XX21121,10000000,18490,1125,265
200323,Stryktipset,21X112X22X1X1,31390,217,20,0
200322,Stryktipset,X1222122X112X,134638,1357,85,23
200321,Stryktipset,121122X1X2112,167098,1978,138,35
200320,Stryktipset,11X2112112XXX,19222,456,45,15
200319,Stryktipset,22X1222X11121,15767,641,56,16
200318,Stryktipset,21121X1X111X2,262596,9854,871,213
200317,Stryktipset,2X12211X21111,72661,1230,84,22
200316,Stryktipset,2111221121X11,64252,1659,148,43
200315,Stryktipset,1121XXX1X2212,17117,380,35,12
200314,Stryktipset,XX21122XX111X,355578,3044,240,62
200313,Stryktipset,X1121XX121211,20726,311,26,0
200312,Stryktipset,11XX1X2211112,18168,398,36,12
200311,Stryktipset,1212X2X2X1121,1523188,13228,1002,233
200310,Stryktipset,XX1X12X111X11,575688,6977,585,152
200309,Stryktipset,1X111121X2122,10462,258,26,0
200308,Stryktipset,2222121121X11,201307,2924,178,38
200307,Stryktipset,1212X211X212X,135460,1146,95,28
200306,Stryktipset,1211111X21X11,9857,159,17,0
200305,Stryktipset,21XX122112121,118837,1837,121,31
200304,Stryktipset,2XX111121X212,491879,14404,999,232
200303,Stryktipset,X11X2XX1XX122,589055,15200,973,212
200302,Stryktipset,X12XXX1XX2121,49961,573,58,21
200301,Stryktipset,112X1111X2X11,19724,267,23,0
200252,Stryktipset,111X111X22XX1,218444,1571,134,38
200251,Stryktipset,1111XXXX1X111,1134,47,0,0
200250,Stryktipset,X1XX1X1121212,951511,14151,916,201
200249,Stryktipset,11221XX1X1211,504616,4562,330,79
200248,Stryktipset,11111X1221212,14352,305,26,0
200247,Stryktipset,111X111211212,102957,2196,179,46
